date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:51:17	146/146	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2003%20Feb%202020%2014:51:16%20GMT	https://demo.dashboardpack.com/robots.txt		(from )
19:51:18	458126/458126	---MCZ	200	added ('OK')	text/html	etag:W/%225d241758-6fd8e%22	https://demo.dashboardpack.com/kero-html-sidebar-pro/	C:/My%20Web%20Sites/admin/demo.dashboardpack.com/kero-html-sidebar-pro/index.html	(from )
19:51:18	12014/12014	---MCZ	200	added ('OK')	image/x-icon	etag:W/%225d241758-2eee%22	https://demo.dashboardpack.com/kero-html-sidebar-pro/favicon.ico	C:/My%20Web%20Sites/admin/demo.dashboardpack.com/kero-html-sidebar-pro/favicon.ico	(from https://demo.dashboardpack.com/kero-html-sidebar-pro/)
19:51:19	682773/682773	---MCZ	200	added ('OK')	text/css	etag:W/%225d241758-a6b15%22	https://demo.dashboardpack.com/kero-html-sidebar-pro/main.07a59de7b920cd76b874.css	C:/My%20Web%20Sites/admin/demo.dashboardpack.com/kero-html-sidebar-pro/main.07a59de7b920cd76b874.css	(from https://demo.dashboardpack.com/kero-html-sidebar-pro/)
19:51:20	458126/458126	---MCZ	200	added ('OK')	text/html	etag:W/%225d241758-6fd8e%22	https://demo.dashboardpack.com/kero-html-sidebar-pro/index.html	C:/My%20Web%20Sites/admin/demo.dashboardpack.com/kero-html-sidebar-pro/index-2.html	(from https://demo.dashboardpack.com/kero-html-sidebar-pro/)
19:51:21	306316/306316	---MCZ	200	added ('OK')	text/html	etag:W/%225d241758-4ac8c%22	https://demo.dashboardpack.com/kero-html-sidebar-pro/management-dashboard.html	C:/My%20Web%20Sites/admin/demo.dashboardpack.com/kero-html-sidebar-pro/management-dashboard.html	(from https://demo.dashboardpack.com/kero-html-sidebar-pro/)
19:51:22	319067/319067	---MCZ	200	added ('OK')	text/html	etag:W/%225d241756-4de5b%22	https://demo.dashboardpack.com/kero-html-sidebar-pro/advertisement-dashboard.html	C:/My%20Web%20Sites/admin/demo.dashboardpack.com/kero-html-sidebar-pro/advertisement-dashboard.html	(from https://demo.dashboardpack.com/kero-html-sidebar-pro/)
19:51:22	262864/262864	---MCZ	200	added ('OK')	text/html	etag:W/%225d241758-402d0%22	https://demo.dashboardpack.com/kero-html-sidebar-pro/helpdesk-dashboard.html	C:/My%20Web%20Sites/admin/demo.dashboardpack.com/kero-html-sidebar-pro/helpdesk-dashboard.html	(from https://demo.dashboardpack.com/kero-html-sidebar-pro/)
19:51:22	242389/242389	---MCZ	200	added ('OK')	text/html	etag:W/%225d241758-3b2d5%22	https://demo.dashboardpack.com/kero-html-sidebar-pro/monitoring-dashboard.html	C:/My%20Web%20Sites/admin/demo.dashboardpack.com/kero-html-sidebar-pro/monitoring-dashboard.html	(from https://demo.dashboardpack.com/kero-html-sidebar-pro/)
19:51:23	217857/217857	---MCZ	200	added ('OK')	text/html	etag:W/%225d241756-35301%22	https://demo.dashboardpack.com/kero-html-sidebar-pro/crypto-dashboard.html	C:/My%20Web%20Sites/admin/demo.dashboardpack.com/kero-html-sidebar-pro/crypto-dashboard.html	(from https://demo.dashboardpack.com/kero-html-sidebar-pro/)
